0|0|1|Accepted|2023-12-01|2024-01-01|False
1|4|9|Accepted|2023-12-01|2024-01-01|False
2|5|10|Accepted|2023-12-01|2024-01-01|False
3|6|11|Accepted|2023-12-01|2024-01-01|False
4|7|12|Accepted|2023-12-01|2024-01-01|False
5|8|13|Accepted|2023-12-01|2024-01-01|False
6|4|14|Accepted|2023-12-01|2024-01-01|False
7|5|15|Accepted|2023-12-01|2024-01-01|False
8|6|16|Accepted|2023-12-01|2024-01-01|False
9|7|17|Accepted|2023-12-01|2024-01-01|False
10|8|18|Accepted|2023-12-01|2024-01-01|False
11|4|19|Accepted|2023-12-01|2024-01-01|False
12|5|9|Accepted|2023-12-01|2024-01-01|False
13|6|10|Accepted|2023-12-01|2024-01-01|False
14|7|11|Accepted|2023-12-01|2024-01-01|False
15|8|12|Accepted|2023-12-01|2024-01-01|False
16|4|13|Accepted|2023-12-01|2024-01-01|False
17|5|14|Accepted|2023-12-01|2024-01-01|False
18|6|15|Accepted|2023-12-01|2024-01-01|False
19|7|16|Accepted|2023-12-01|2024-01-01|False
20|8|17|Accepted|2023-12-01|2024-01-01|False
21|4|18|Accepted|2023-12-01|2024-01-01|False
22|5|19|Accepted|2023-12-01|2024-01-01|False
23|6|9|Accepted|2023-12-01|2024-01-01|False
24|7|10|Accepted|2023-12-01|2024-01-01|False
25|8|11|Accepted|2023-12-01|2024-01-01|False
26|4|12|Accepted|2023-12-01|2024-01-01|False
27|5|13|Accepted|2023-12-01|2024-01-01|False
28|6|14|Accepted|2023-12-01|2024-01-01|False
29|7|15|Accepted|2023-12-01|2024-01-01|False
30|8|16|Accepted|2023-12-01|2024-01-01|False
31|4|17|Accepted|2023-12-01|2024-01-01|False
32|5|18|Accepted|2023-12-01|2024-01-01|False
33|6|19|Accepted|2023-12-01|2024-01-01|False
34|7|9|Accepted|2023-12-01|2024-01-01|False
35|8|10|Accepted|2023-12-01|2024-01-01|False
36|4|11|Accepted|2023-12-01|2024-01-01|False
37|5|12|Accepted|2023-12-01|2024-01-01|False
38|6|13|Accepted|2023-12-01|2024-01-01|False
39|7|14|Accepted|2023-12-01|2024-01-01|False
40|8|15|Accepted|2023-12-01|2024-01-01|False
41|4|16|Accepted|2023-12-01|2024-01-01|False
42|5|17|Accepted|2023-12-01|2024-01-01|False
43|6|18|Accepted|2023-12-01|2024-01-01|False
44|7|19|Accepted|2023-12-01|2024-01-01|False
45|8|9|Accepted|2023-12-01|2024-05-28|False
46|4|10|Accepted|2023-12-01|2024-01-01|False
47|5|11|Accepted|2023-12-01|2024-01-01|False
48|6|12|Accepted|2023-12-01|2024-01-01|False
49|7|13|Accepted|2023-12-01|2024-01-01|False
50|8|14|Accepted|2023-12-01|2024-01-01|False
51|0|23|Accepted|2022-02-01|2022-02-01|False
52|1|23|Accepted|2022-06-01|2022-06-01|False